Id,Number,Name,Latitude,Longitude,District,Public,Total docks
212,A32030,Maverick Square - Lewis Mall,42.36884408,-71.03977829,Boston,Yes,33
436,A32044,Maverick St at Massport Path,42.36774122,-71.03335975,Boston,Yes,15
,T32004,Mayor Salvo Path at Mill St,42.5180352,-70.89570075,Salem,Yes,11
358,D32037,Medford St at Charlestown BCYF,42.38042947,-71.06055722,Boston,Yes,19
67,M32006,MIT at Mass Ave / Amherst St,42.3581,-71.093198,Cambridge,Yes,27
,M32070,MIT Carleton St at Amherst St,42.36054174,-71.08669817,Cambridge,Yes,27
,M32071,MIT Hayward St at Amherst St,42.36085937,-71.08551858,Cambridge,Yes,27
178,M32041,MIT Pacific St at Purrington St,42.3595732,-71.10129476,Cambridge,Yes,19
80,M32005,MIT Stata Center at Vassar St / Main St,42.36213123,-71.09115601,Cambridge,Yes,35
179,M32042,MIT Vassar St,42.35560121,-71.10394478,Cambridge,Yes,25
197,B32023,MLK Blvd at Washington St,42.32143814,-71.09126061,Boston,Yes,15
,C32103,Morton St at Gallivan Blvd,42.278747,-71.080286,Boston,Yes,15
343,C23045,Morton St T,42.28072514,-71.08617242,Boston,Yes,15
180,M32043,Mt Auburn,42.37478629,-71.13320231,Cambridge,Yes,19
423,C32080,Mt. Hope St at Hyde Park Ave,42.28484472,-71.11874517,Boston,Yes,19
58,D32017,Mugar Way at Beacon St,42.35553628,-71.0728687,Boston,Yes,19
146,C32023,Murphy Skating Rink - 1880 Day Blvd,42.336448,-71.023739,Boston,Yes,19
182,M32045,Museum of Science,42.36769018,-71.07116282,Cambridge,Yes,19
190,A32025,Nashua Street at Red Auerbach Way,42.365673,-71.064263,Boston,Yes,37
201,B32027,NCAAA - Walnut Ave at Crawford St,42.316902,-71.091946,Boston,Yes,15
37,D32001,New Balance - 20 Guest St,42.35732922,-71.1467354,Boston,Yes,15
52,B32000,Newbury St at Hereford St,42.348717,-71.085954,Boston,Yes,23
138,C32022,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,42.326599,-71.066498,Boston,Yes,15
,N32010,Newton Highlands T,42.32206566,-71.20637298,Newton,Yes,15
,N32013,Newton Library,42.33620337,-71.20779455,Newton,Yes,13
,W32007,Nichols Ave. at Watertown Greenway,42.36762049,-71.15656637,Watertown,Yes,12
,N32002,Nonantum Library,42.36068456,-71.201462,Newton,Yes,15
421,C32078,Northbourne Rd at Hyde Park Ave,42.29118035,-71.11773666,Boston,Yes,0
5,B32012,Northeastern University - North Parking Lot,42.341814,-71.090179,Boston,Yes,15
